									Timestamp	Setpoint	Temperature	Error	Sum	ProportionalFactor	IntegralFactor	DerivativeFactor	Control	LastCurrentMeasurement
4503930	2430	3015	585	5854	175500	1170	0	60100	46079
5503932	2430	3013	583	11694	174900	2338	0	60100	45911
6503938	2430	3008	578	17498	173400	3499	-1000	60100	45899
7503917	2430	3003	573	23252	171900	4650	0	60100	45871
8503925	2430	2997	567	28946	170100	5789	0	60100	45863
9503933	2430	2990	560	34575	168000	6915	-1000	60100	45858
503915	2430	2983	553	40137	165900	8027	-1000	60100	45859
1503926	2430	2976	546	45629	163800	9125	-1000	60100	45857
2503940	2430	2969	539	51051	161700	10210	-1000	60100	45848
3503922	2430	2962	532	56402	159600	11280	-1000	60100	45858
4503937	2430	2955	525	60100	157500	12020	-1000	60100	45845
5503920	2430	2948	518	60100	155400	12020	0	60100	45902
6503931	2430	2941	511	60100	153300	12020	-1000	60100	45886
7503915	2430	2934	504	60100	151200	12020	-1000	60100	45896
8503930	2430	2927	497	60100	149100	12020	-1000	60100	45891
9503914	2430	2920	490	60100	147000	12020	-1000	60100	45889
503931	2430	2913	483	60100	144900	12020	-1000	60100	45880
1503942	2430	2907	477	60100	143100	12020	0	60100	45876
2503919	2430	2900	470	60100	141000	12020	-1000	60100	45868
3503934	2430	2894	464	60100	139200	12020	0	60100	45858
4503944	2430	2887	457	60100	137100	12020	-1000	60100	45852
5503928	2430	2881	451	60100	135300	12020	-1000	60100	45846
6503943	2430	2875	445	60100	133500	12020	0	60100	45842
7503922	2430	2869	439	60100	131700	12020	0	60100	45829
8503933	2430	2862	432	60100	129600	12020	-1000	60100	45824
9503917	2430	2856	426	60100	127800	12020	-1000	60100	45809
503933	2430	2851	421	60100	126300	12020	0	60100	45807
1503940	2430	2845	415	60100	124500	12020	0	60100	45802
2503917	2430	2839	409	60100	122700	12020	0	60100	45779
3503926	2430	2833	403	60100	120900	12020	-1000	60100	45771
4503941	2430	2827	397	60100	119100	12020	-1000	60100	45777
5503924	2430	2822	392	60100	117600	12020	-1000	60100	45753
6503939	2430	2816	386	60100	115800	12020	-1000	60100	45758
7503923	2430	2811	381	60100	114300	12020	-1000	60100	45736
8503939	2430	2806	376	60100	112800	12020	0	60100	45744
9503918	2430	2801	371	60100	111300	12020	0	60100	45723
503929	2430	2795	365	60100	109500	12020	-1000	60100	45718
1503940	2430	2790	360	60100	108000	12020	-1000	60100	45730
2503921	2430	2785	355	60100	106500	12020	-1000	60100	45710
3503935	2430	2780	350	60100	105000	12020	-1000	60100	45722
4503918	2430	2775	345	60100	103500	12020	-1000	60100	45701
5503933	2430	2770	340	60100	102000	12020	-1000	60100	45709
6503916	2430	2765	335	60100	100500	12020	-1000	60100	45691
7503931	2430	2761	331	60100	99300	12020	0	60100	45695
8503941	2430	2756	326	60100	97800	12020	0	60100	45695
9503920	2430	2751	321	60100	96300	12020	-1000	60100	45670
503936	2430	2747	317	60100	95100	12020	0	60100	45679
1503942	2430	2742	312	60100	93600	12020	-1000	60100	45679
2503923	2430	2737	307	60100	92100	12020	-1000	60100	45656
3503936	2430	2733	303	60100	90900	12020	0	60100	45667
4503914	2430	2729	299	60100	89700	12020	0	60100	45646
5503924	2430	2724	294	60100	88200	12020	-1000	60100	45639
6503938	2430	2720	290	60100	87000	12020	0	60100	45653
7503916	2430	2716	286	60100	85800	12020	0	60100	45631
8503927	2430	2711	281	60100	84300	12020	-1000	60100	45628
9503942	2430	2707	277	60100	83100	12020	-1000	60100	45636
503925	2430	2703	273	60100	81900	12020	-1000	60100	45616
1503936	2430	2699	269	60100	80700	12020	0	60100	45630
2503944	2430	2695	265	60100	79500	12020	0	60100	45618
3503921	2430	2691	261	60100	78300	12020	0	60100	45602
4503930	2430	2687	257	60100	77100	12020	0	60100	45592
5503939	2430	2683	253	60100	75900	12020	0	60100	45603
6503916	2430	2679	249	60100	74700	12020	-1000	60100	45577
7503931	2430	2675	245	60100	73500	12020	-1000	60100	45586
8503914	2430	2671	241	60100	72300	12020	-1000	60100	45566
